"reg";"cl_age90";"jour";"hosp";"rea";"dc";"rad"
"01";0;"2020-03-18";0;0;0;0
"01";9;"2020-03-18";0;0;0;0
"01";19;"2020-03-18";0;0;0;0
"01";29;"2020-03-18";0;0;0;0
"01";39;"2020-03-18";0;0;0;0
"01";49;"2020-03-18";0;0;0;0
"01";59;"2020-03-18";0;0;0;0
"01";69;"2020-03-18";0;0;0;0
"01";79;"2020-03-18";0;0;0;0
"01";89;"2020-03-18";0;0;0;0
"01";90;"2020-03-18";0;0;0;0
"02";0;"2020-03-18";16;5;1;0
"02";9;"2020-03-18";0;0;0;0
"02";19;"2020-03-18";0;0;0;0
"02";29;"2020-03-18";2;1;0;0
"02";39;"2020-03-18";2;0;0;0
"02";49;"2020-03-18";2;1;0;0
"02";59;"2020-03-18";5;0;0;0
"02";69;"2020-03-18";4;3;0;0
"02";79;"2020-03-18";1;0;0;0
"02";89;"2020-03-18";0;0;1;0
"02";90;"2020-03-18";0;0;0;0
"03";0;"2020-03-18";0;0;0;0
"03";9;"2020-03-18";0;0;0;0
"03";19;"2020-03-18";0;0;0;0
"03";29;"2020-03-18";0;0;0;0
"03";39;"2020-03-18";0;0;0;0
"03";49;"2020-03-18";0;0;0;0
"03";59;"2020-03-18";0;0;0;0
"03";69;"2020-03-18";0;0;0;0
"03";79;"2020-03-18";0;0;0;0
"03";89;"2020-03-18";0;0;0;0
"03";90;"2020-03-18";0;0;0;0
"04";0;"2020-03-18";2;2;0;0
"04";9;"2020-03-18";0;0;0;0
"04";19;"2020-03-18";0;0;0;0
"04";29;"2020-03-18";0;0;0;0
"04";39;"2020-03-18";0;0;0;0
"04";49;"2020-03-18";0;0;0;0
"04";59;"2020-03-18";0;0;0;0
"04";69;"2020-03-18";0;0;0;0
"04";79;"2020-03-18";1;1;0;0
"04";89;"2020-03-18";1;1;0;0
"04";90;"2020-03-18";0;0;0;0
"06";0;"2020-03-18";0;0;0;0
"06";9;"2020-03-18";0;0;0;0
"06";19;"2020-03-18";0;0;0;0
"06";29;"2020-03-18";0;0;0;0
"06";39;"2020-03-18";0;0;0;0
"06";49;"2020-03-18";0;0;0;0
"06";59;"2020-03-18";0;0;0;0
"06";69;"2020-03-18";0;0;0;0
"06";79;"2020-03-18";0;0;0;0
"06";89;"2020-03-18";0;0;0;0
"06";90;"2020-03-18";0;0;0;0
"11";0;"2020-03-18";957;294;36;129
"11";9;"2020-03-18";3;2;0;1
"11";19;"2020-03-18";6;1;0;0
"11";29;"2020-03-18";11;2;0;18
"11";39;"2020-03-18";42;13;0;16
"11";49;"2020-03-18";89;27;4;11
"11";59;"2020-03-18";177;67;0;30
"11";69;"2020-03-18";185;73;2;18
"11";79;"2020-03-18";200;70;8;18
"11";89;"2020-03-18";168;30;16;12
"11";90;"2020-03-18";63;4;4;3
"24";0;"2020-03-18";14;5;1;0
"24";9;"2020-03-18";0;0;0;0
"24";19;"2020-03-18";0;0;0;0
"24";29;"2020-03-18";0;0;0;0
"24";39;"2020-03-18";0;0;0;0
"24";49;"2020-03-18";0;0;0;0
"24";59;"2020-03-18";3;0;0;0
"24";69;"2020-03-18";3;1;0;0
"24";79;"2020-03-18";3;2;1;0
"24";89;"2020-03-18";4;2;0;0
"24";90;"2020-03-18";1;0;0;0
"27";0;"2020-03-18";168;33;6;20
"27";9;"2020-03-18";0;0;0;0
"27";19;"2020-03-18";0;0;0;1
"27";29;"2020-03-18";1;0;0;3
"27";39;"2020-03-18";4;1;0;3
"27";49;"2020-03-18";9;1;0;2
"27";59;"2020-03-18";17;2;0;3
"27";69;"2020-03-18";32;10;0;1
"27";79;"2020-03-18";41;13;1;0
"27";89;"2020-03-18";50;6;3;5
"27";90;"2020-03-18";14;0;2;2
"28";0;"2020-03-18";45;4;3;6
"28";9;"2020-03-18";0;0;0;0
"28";19;"2020-03-18";0;0;0;0
"28";29;"2020-03-18";1;0;0;0
"28";39;"2020-03-18";1;0;0;0
"28";49;"2020-03-18";3;0;0;0
"28";59;"2020-03-18";4;0;0;2
"28";69;"2020-03-18";8;2;1;3
"28";79;"2020-03-18";15;2;1;1
"28";89;"2020-03-18";10;0;1;0
"28";90;"2020-03-18";3;0;0;0
"32";0;"2020-03-18";313;87;21;77
"32";9;"2020-03-18";10;0;0;10
"32";19;"2020-03-18";4;1;0;2
"32";29;"2020-03-18";7;2;0;7
"32";39;"2020-03-18";14;4;0;12
"32";49;"2020-03-18";16;3;0;13
"32";59;"2020-03-18";37;13;0;10
"32";69;"2020-03-18";55;25;3;7
"32";79;"2020-03-18";73;31;6;7
"32";89;"2020-03-18";65;8;10;8
"32";90;"2020-03-18";32;0;2;1
"44";0;"2020-03-18";879;204;120;146
"44";9;"2020-03-18";4;0;0;30
"44";19;"2020-03-18";4;2;0;1
"44";29;"2020-03-18";12;1;1;2
"44";39;"2020-03-18";22;6;0;5
"44";49;"2020-03-18";41;14;1;12
"44";59;"2020-03-18";92;30;3;26
"44";69;"2020-03-18";181;69;9;21
