"dep";"sexe";"jour";"hosp";"rea";"rad";"dc"
"01";"0";2020-03-18;1;0;1;0
"01";"1";2020-03-18;1;0;1;0
"01";"2";2020-03-18;0;0;0;0
"02";"0";2020-03-18;18;10;18;11
"02";"1";2020-03-18;11;4;11;6
"02";"2";2020-03-18;7;6;7;5
"03";"0";2020-03-18;1;0;1;0
"03";"1";2020-03-18;0;0;0;0
"03";"2";2020-03-18;1;0;1;0
"04";"0";2020-03-18;2;1;2;0
"04";"1";2020-03-18;0;1;0;0
"04";"2";2020-03-18;2;0;2;0
"05";"0";2020-03-18;9;1;9;0
"05";"1";2020-03-18;7;0;7;0
"05";"2";2020-03-18;2;1;2;0
"06";"0";2020-03-18;47;1;47;2
"06";"1";2020-03-18;19;1;19;0
"06";"2";2020-03-18;28;0;28;2
"07";"0";2020-03-18;0;1;0;0
"07";"1";2020-03-18;0;1;0;0
"07";"2";2020-03-18;0;0;0;0
"08";"0";2020-03-18;1;0;1;0
"08";"1";2020-03-18;1;0;1;0
"08";"2";2020-03-18;0;0;0;0
"09";"0";2020-03-18;2;1;2;0
"09";"1";2020-03-18;1;0;1;0
"09";"2";2020-03-18;1;1;1;0
"10";"0";2020-03-18;0;0;0;0
"10";"1";2020-03-18;0;0;0;0
"10";"2";2020-03-18;0;0;0;0
"11";"0";2020-03-18;9;7;9;3
"11";"1";2020-03-18;2;5;2;2
"11";"2";2020-03-18;7;2;7;1
"12";"0";2020-03-18;1;2;1;0
"12";"1";2020-03-18;0;1;0;0
"12";"2";2020-03-18;1;1;1;0
"13";"0";2020-03-18;59;11;59;4
"13";"1";2020-03-18;35;6;35;2
"13";"2";2020-03-18;23;5;23;2
"14";"0";2020-03-18;0;1;0;0
"14";"1";2020-03-18;0;0;0;0
"14";"2";2020-03-18;0;1;0;0
"15";"0";2020-03-18;0;1;0;0
"15";"1";2020-03-18;0;1;0;0
"15";"2";2020-03-18;0;0;0;0
"16";"0";2020-03-18;0;0;0;0
"16";"1";2020-03-18;0;0;0;0
"16";"2";2020-03-18;0;0;0;0
"17";"0";2020-03-18;2;2;2;0
"17";"1";2020-03-18;2;2;2;0
"17";"2";2020-03-18;0;0;0;0
"18";"0";2020-03-18;0;0;0;0
"18";"1";2020-03-18;0;0;0;0
"18";"2";2020-03-18;0;0;0;0
"19";"0";2020-03-18;0;0;0;0
"19";"1";2020-03-18;0;0;0;0
"19";"2";2020-03-18;0;0;0;0
"21";"0";2020-03-18;4;16;4;0
"21";"1";2020-03-18;0;10;0;0
"21";"2";2020-03-18;4;6;4;0
"22";"0";2020-03-18;3;1;3;0
"22";"1";2020-03-18;1;1;1;0
"22";"2";2020-03-18;2;0;2;0
"23";"0";2020-03-18;0;0;0;0
"23";"1";2020-03-18;0;0;0;0
"23";"2";2020-03-18;0;0;0;0
"24";"0";2020-03-18;1;1;1;0
"24";"1";2020-03-18;1;1;1;0
"24";"2";2020-03-18;0;0;0;0
"25";"0";2020-03-18;8;3;8;1
"25";"1";2020-03-18;2;2;2;1
"25";"2";2020-03-18;6;1;6;0
"26";"0";2020-03-18;0;2;0;0
"26";"1";2020-03-18;0;1;0;0
"26";"2";2020-03-18;0;1;0;0
"27";"0";2020-03-18;0;0;0;0
"27";"1";2020-03-18;0;0;0;0
"27";"2";2020-03-18;0;0;0;0
"28";"0";2020-03-18;0;3;0;1
"28";"1";2020-03-18;0;1;0;1
"28";"2";2020-03-18;0;2;0;0
"29";"0";2020-03-18;3;5;3;0
"29";"1";2020-03-18;2;4;2;0
"29";"2";2020-03-18;1;1;1;0
"2A";"0";2020-03-18;0;0;0;0
"2A";"1";2020-03-18;0;0;0;0
"2A";"2";2020-03-18;0;0;0;0
"2B";"0";2020-03-18;0;0;0;0
"2B";"1";2020-03-18;0;0;0;0
"2B";"2";2020-03-18;0;0;0;0
"30";"0";2020-03-18;6;3;6;0
"30";"1";2020-03-18;1;3;1;0
"30";"2";2020-03-18;5;0;5;0
