jour;hosp;rea;rad;dc
18/03/2020;2972;771;816;218
19/03/2020;4073;1002;1180;327
20/03/2020;5226;1297;1587;450
21/03/2020;5900;1453;1811;525
22/03/2020;6954;1674;2117;632
23/03/2020;8673;2080;2567;860
24/03/2020;10163;2503;3281;1100
25/03/2020;12085;2948;4085;1388
26/03/2020;13879;3351;4947;1696
27/03/2020;15701;3758;5698;1995
28/03/2020;17580;4236;6624;2314
29/03/2020;19311;4592;7131;2606
30/03/2020;20946;5056;7923;3024
31/03/2020;22672;5496;9443;3523
01/04/2020;24543;5940;10933;4032
02/04/2020;26122;6302;12426;4501
03/04/2020;27293;6556;14007;5091
04/04/2020;28006;6723;15432;5532
05/04/2020;28745;6859;16181;5889
06/04/2020;29570;6948;17244;6494
07/04/2020;29871;7004;19332;7091
08/04/2020;30218;7018;21245;7632
09/04/2020;30607;6937;23204;8044
10/04/2020;31104;6875;24933;8598
11/04/2020;31159;6753;26389;8942
12/04/2020;31663;6714;27185;9253
13/04/2020;31952;6690;27717;9588
14/04/2020;32138;6599;28794;10129
15/04/2020;31620;6330;30950;10643
16/04/2020;31168;6137;32804;11052
17/04/2020;31061;5922;34412;11470
18/04/2020;30513;5734;35977;11834
19/04/2020;30485;5645;36569;12060
20/04/2020;30465;5584;37400;12504
21/04/2020;29985;5334;39170;12892
22/04/2020;29625;5127;40649;13225
23/04/2020;29115;4967;42078;13536
24/04/2020;28547;4786;43484;13841
25/04/2020;28119;4641;44587;14039
26/04/2020;28108;4596;44890;14191
27/04/2020;27952;4526;45502;14486
28/04/2020;27606;4392;46319;14676
29/04/2020;26738;4128;48215;15041
30/04/2020;26194;3948;49460;15231
01/05/2020;25813;3818;50196;15348
02/05/2020;25749;3770;50554;15468
03/05/2020;25732;3761;50775;15564
04/05/2020;25468;3638;51358;15806
05/05/2020;24699;3376;52725;16039
06/05/2020;23911;3094;53957;16217
07/05/2020;23132;2910;55014;16367
08/05/2020;22654;2818;55770;16478
09/05/2020;22546;2765;56024;16554
10/05/2020;22499;2726;56208;16623
11/05/2020;22231;2668;56696;16800
12/05/2020;21532;2497;57768;16981
13/05/2020;21007;2383;58656;17082
14/05/2020;20396;2256;59590;17205
15/05/2020;19800;2162;60434;17322
16/05/2020;19375;2090;61050;17393
17/05/2020;19298;2048;61202;17447
18/05/2020;18955;1958;61719;17569
19/05/2020;18411;1852;62548;17695
20/05/2020;17881;1753;63343;17793
21/05/2020;17533;1708;63837;17851
22/05/2020;17326;1665;64196;17925
23/05/2020;17128;1630;64530;17967
24/05/2020;17124;1617;64607;18003
25/05/2020;16742;1572;65190;18093
26/05/2020;16210;1517;65863;18175
27/05/2020;15628;1468;66570;18240
28/05/2020;15156;1395;67178;18306
29/05/2020;14634;1327;67792;18367
30/05/2020;14336;1293;68247;18424
31/05/2020;14271;1287;68344;18455
01/06/2020;14238;1273;68430;18484
02/06/2020;13991;1221;68789;18570
03/06/2020;13460;1179;69443;18651
04/06/2020;13052;1133;69963;18695
05/06/2020;12650;1063;70489;18741
06/06/2020;12429;1030;70793;18772
07/06/2020;12415;1024;70832;18785
08/06/2020;12269;995;71046;18838
09/06/2020;11918;926;71493;18891
10/06/2020;11632;904;71817;18915
11/06/2020;11418;874;72136;18942
12/06/2020;11078;848;72556;18970
13/06/2020;10862;843;72798;18993
14/06/2020;10837;844;72847;19003
15/06/2020;10711;820;73027;19032
16/06/2020;10491;793;73324;19069
17/06/2020;10221;745;73655;19098
18/06/2020;10080;724;73874;19126
19/06/2020;9928;699;74102;19140
20/06/2020;9793;688;74296;19156
21/06/2020;9778;686;74361;19162
22/06/2020;9645;671;74595;19186
23/06/2020;9452;656;74851;19212
24/06/2020;9251;632;75118;19222
25/06/2020;9094;623;75337;19244
26/06/2020;8844;607;75633;19270
27/06/2020;8717;596;75802;19284
28/06/2020;8727;594;75829;19287
29/06/2020;8644;590;75986;19305
30/06/2020;8489;575;76263;19326
01/07/2020;8292;555;76537;19344
02/07/2020;8105;545;76787;19358
03/07/2020;7952;532;77043;19376
04/07/2020;7863;517;77160;19388
05/07/2020;7861;521;77179;19390
06/07/2020;7812;522;77303;19403
07/07/2020;7555;511;77636;19437
08/07/2020;7258;504;77982;19469
09/07/2020;7134;486;78158;19483
10/07/2020;7020;470;78375;19508
11/07/2020;6995;470;78454;19514
12/07/2020;6991;473;78485;19515
13/07/2020;6940;468;78586;19533
14/07/2020;6908;466;78670;19539
15/07/2020;6876;456;78803;19559
16/07/2020;6753;456;79025;19577
17/07/2020;6647;452;79231;19591
18/07/2020;6614;450;79322;19599
19/07/2020;6586;448;79383;19600
20/07/2020;6547;442;79527;19616
21/07/2020;6440;430;79723;19629
22/07/2020;6320;419;79944;19636
23/07/2020;5916;411;80458;19646
24/07/2020;5675;386;80802;19656
25/07/2020;5633;369;80914;19664
26/07/2020;5642;367;80945;19665
27/07/2020;5614;374;81071;19673
28/07/2020;5511;361;81297;19688
29/07/2020;5407;355;81489;19703
30/07/2020;5339;357;81650;19719
31/07/2020;5256;348;81869;19730
01/08/2020;5177;344;82016;19736
02/08/2020;5187;345;82028;19737
03/08/2020;5156;360;82155;19759
04/08/2020;5120;363;82307;19770
05/08/2020;5110;360;82447;19779
06/08/2020;5020;367;82658;19786
