"dep";"jour";"incid_hosp";"incid_rea";"incid_rad";"incid_dc"
"01";"2020-11-12";41;5;17;5
"02";"2020-11-12";21;3;14;1
"03";"2020-11-12";24;2;20;2
"04";"2020-11-12";6;1;2;1
"05";"2020-11-12";15;1;7;1
"06";"2020-11-12";40;7;12;7
"07";"2020-11-12";20;2;7;2
"08";"2020-11-12";15;2;7;2
"09";"2020-11-12";5;1;1;0
"10";"2020-11-12";5;0;0;0
"11";"2020-11-12";11;2;4;0
"12";"2020-11-12";8;2;2;0
"13";"2020-11-12";114;18;67;29
"14";"2020-11-12";29;6;13;8
"15";"2020-11-12";2;2;6;1
"16";"2020-11-12";11;2;4;1
"17";"2020-11-12";4;0;2;1
"18";"2020-11-12";12;0;4;2
"19";"2020-11-12";6;1;5;3
"21";"2020-11-12";21;3;11;4
"22";"2020-11-12";5;0;1;1
"23";"2020-11-12";5;0;2;0
"24";"2020-11-12";3;0;3;0
"25";"2020-11-12";29;7;8;4
"26";"2020-11-12";36;1;13;5
"27";"2020-11-12";10;0;6;1
"28";"2020-11-12";18;2;3;1
"29";"2020-11-12";8;0;4;0
"2A";"2020-11-12";6;1;3;3
"2B";"2020-11-12";1;1;0;0
"30";"2020-11-12";31;8;17;2
"31";"2020-11-12";26;4;18;5
"32";"2020-11-12";3;1;1;0
"33";"2020-11-12";29;6;21;1
"34";"2020-11-12";19;5;18;3
"35";"2020-11-12";25;7;10;4
"36";"2020-11-12";4;0;6;0
"37";"2020-11-12";28;12;17;5
"38";"2020-11-12";46;6;26;5
"39";"2020-11-12";20;1;12;2
"40";"2020-11-12";15;0;1;4
"41";"2020-11-12";12;0;10;2
"42";"2020-11-12";65;3;43;19
"43";"2020-11-12";25;3;8;3
"44";"2020-11-12";20;4;20;8
"45";"2020-11-12";43;6;12;4
"46";"2020-11-12";4;0;0;0
"47";"2020-11-12";2;1;2;0
"48";"2020-11-12";2;0;0;0
"49";"2020-11-12";15;3;11;7
"50";"2020-11-12";12;2;7;2
"51";"2020-11-12";25;7;15;8
"52";"2020-11-12";5;0;0;0
"53";"2020-11-12";14;1;6;1
"54";"2020-11-12";37;1;11;5
"55";"2020-11-12";5;0;2;0
"56";"2020-11-12";8;1;0;2
"57";"2020-11-12";66;9;18;6
"58";"2020-11-12";7;0;8;1
"59";"2020-11-12";131;22;116;24
"60";"2020-11-12";15;1;6;2
"61";"2020-11-12";13;1;11;4
"62";"2020-11-12";43;8;16;3
"63";"2020-11-12";23;5;12;8
"64";"2020-11-12";29;0;12;1
"65";"2020-11-12";25;2;3;2
"66";"2020-11-12";3;2;3;2
"67";"2020-11-12";44;9;16;5
"68";"2020-11-12";30;5;7;1
"69";"2020-11-12";106;28;67;24
"70";"2020-11-12";15;0;3;1
"71";"2020-11-12";31;1;13;12
"72";"2020-11-12";12;1;4;2
"73";"2020-11-12";47;8;17;10
"74";"2020-11-12";60;6;27;11
"75";"2020-11-12";57;21;51;10
"76";"2020-11-12";25;4;22;7
"77";"2020-11-12";27;3;15;11
"78";"2020-11-12";44;3;17;13
"79";"2020-11-12";8;1;2;4
"80";"2020-11-12";12;1;6;2
"81";"2020-11-12";14;4;6;0
"82";"2020-11-12";3;1;1;0
"83";"2020-11-12";44;11;35;12
"84";"2020-11-12";54;4;20;17
"85";"2020-11-12";3;2;1;2
"86";"2020-11-12";1;0;0;2
"87";"2020-11-12";8;0;2;2
"88";"2020-11-12";23;8;8;3
"89";"2020-11-12";18;0;3;1
"90";"2020-11-12";20;0;4;0
"91";"2020-11-12";31;10;29;1
"92";"2020-11-12";48;13;42;4
"93";"2020-11-12";48;16;30;10
"94";"2020-11-12";60;9;32;11
"95";"2020-11-12";32;8;19;9
"971";"2020-11-12";1;1;1;0
"972";"2020-11-12";3;0;4;0
"973";"2020-11-12";3;0;2;0
"974";"2020-11-12";12;4;2;1
"976";"2020-11-12";1;0;0;0
NA;"2020-11-12";0;0;0;0
