min-max;0-9;10-19;20-29;30-39;40-49;50-59;60-69;70-79;80-89;90-99
Auvergne-Rhône-Alpes;936501;1018289;902178;1009020;1039282;1050427;923661;716256;384224;112760
Bourgogne-Franche-Comté;288163;336801;278755;311073;339642;374051;368122;286313;156933;46352
Bretagne;352577;421129;338927;376651;424823;447745;440806;329860;186993;51786
Centre-Val-de-Loire;281347;316466;249662;291598;317101;341270;327736;252820;141696;42735
Corse;34570;36307;32754;43969;46091;47724;45151;37529;20030;5148
Grand_Est;592135;666362;618273;673911;689686;754673;703431;485834;271304;69208
Hauts-de-France;720958;801734;694589;744924;757775;762612;700030;479748;248962;66130
Île-de-France;1589856;1568051;1667319;1762912;1667546;1537661;1178725;815274;418062;121023
Normandie;362868;414600;344753;382905;404094;434463;427904;313360;172298;48847
Nouvelle-Aquitaine;594624;699624;599661;678121;756691;809238;808992;634915;349537;108364
Occitanie;623843;708153;643725;694310;742866;793374;757403;603152;320562;98363
Pays_de_la_Loire;432663;501761;405798;453819;491678;488354;463991;346270;194691;59035
Provence-Alpes-Côte_d'Azur;550692;583305;509383;599881;630698;682594;633007;529592;288020;82489
